Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
NoxIsAnAsshole,1213,6.6857334E+017,"I just heard  ""Hate or Glory"" on a Toyota Tacoma commercial so you can all stop pretending to like Gesseflowerpot now.",ad,11/22/2015 11:34 PM,en,0,0,0.128
athensumoc48,859,6.6853009E+017,"@apetaja I hate the Toyota TV add showing them going through the desert with bikers, they look like isis. Damn Toyota",ad,11/22/2015  8:42 PM,en,0,0,-0.5994
bodiva,262,6.6825788E+017,"@jsaquella @Toyota I don't get the Jan hate. Mayhem guy, I can hate.",ad,11/22/2015  2:41 AM,en,0,1,-0.8126
flasportsfan76,1034,6.6812181E+017,I hate that dumb ass Toyota Christmas commercial,ad,11/21/2015  5:40 PM,en,0,0,-0.8885
libertyvalance8,22,6.6785137E+017,@upinthecutjones @psychocbean70 screw your Toyota ads...I hate mine,ad,11/20/2015 11:45 PM,en,0,0,-0.6249
KenRusnak,222,6.6592608E+017,"@Toyota is running 12-Days-of-Christmas-themed commercials 2 weeks before Thanksgiving. Love you #Jan, but I hate your commercial.",ad,11/15/2015  4:15 PM,en,0,0,-0.5346
myahslaays,393,6.6853722E+017,Hate when I gotta drive this Toyota &lt,car,,11/22/2015  9:11 PM,en,0,0
lovexkaren,75,6.6851867E+017,"I hate trucks, but the Toyota Tundra is my fav if I had to choose",car,11/22/2015  7:57 PM,en,0,0,0.3919
MiniTruckinMag,4807,6.6740565E+017,Love or hate this custom body-dropped '84 Toyota Hilux? https://t.co/bSnwhgqgYr,car,11/19/2015  6:14 PM,en,1,2,0.128
heiderzzz,587,6.6717178E+017,I hate driving my dads old Toyota tundra truck I only love the beautiful white tundra,car,11/19/2015  2:45 AM,en,0,0,0.6597
cadadj,1478,6.6695642E+017,You either hate it or love it...Toyota gives new Prius an ample style upgrade (pictures) https://t.co/kwrfdntbwY,car,11/18/2015 12:29 PM,en,0,0,0.128
