Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
aya_lindsey,665,6.7017557E+017,in love with this new Toyota ad 😍 .. Car is horrible though 😅,ad,11/27/2015  9:41 AM,en,0,0,0.1779
luisyahdiel3,222,6.6990211E+017,"I love @Toyota_Hybrid's ""Barista"" film. Shows how much energy the TS040 harvests during a full lap at Le Mans. https://t.co/ziu52Z2xES",ad,11/26/2015  3:34 PM,en,0,1,0.743
HanSolex,776,6.6958148E+017,@bzrong how @Toyota channeled Bobby Darin to hop up the Prius. Greasers love it!,ad,11/25/2015  6:20 PM,en,0,2,0.6696
rbottoms,179,6.6927446E+017,I love that Toyota Black Friday ads are showing up with hashtag #Negroproblem.,ad,11/24/2015 10:00 PM,en,0,0,0.6369
CatoctinRider,23,6.6898884E+017,"Love the very anti-ISIS Toyota ads...remember, they only indirectly support mass terrorism",ad,11/24/2015  3:05 AM,en,0,0,0.3182
FreedomRocksOut,3706,6.6898575E+017,"I love the @Toyota #Tundra #Truck commercial that glorifies #ISIL I imagine they enjoyed it too! #AdMan Desert, motorcycles, explosions...!",ad,11/24/2015  2:53 AM,en,0,0,0.9059
laketoyota,379,6.6861246E+017,"Toyota shows off 'Back to the Future' Mirai and Tacoma at the LA Auto Show, and 'Great Scott!' we love it! https://t.co/RWcVjcBR00",ad,11/23/2015  2:10 AM,en,0,0,0.8715
TrevorMagargal,20,6.6857681E+017,I love the new Toyota Tacoma  Comercial,ad,11/22/2015 11:48 PM,en,0,1,0.6369
greg22hoops,520,6.6820673E+017,I love when tv commercial discuss the meaning of life and then translate it into buying the new @Toyota,ad,11/21/2015 11:17 PM,en,1,1,0.6369
lamb4you,208,6.6805389E+017,l love how #genuine @Toyota parts have their own separate #Advertising account. That's a #seriousBrand,ad,11/21/2015  1:10 PM,en,0,2,0.6369
T3_RonaldoCR7,1038,6.6776436E+017,The Toyota Aygo ad is hilarious. Love it.,ad,11/20/2015  6:00 PM,en,0,0,0.7845
LynneaPhillips,974,6.6753324E+017,"A3) Also love how they use the words ""powered by"" Toyota, instead of ""advertisement for"". 😏 #SMSportsChat",ad,11/20/2015  2:41 AM,en,0,0,0.6369
AutoblogGreen,23224,6.6745315E+017,Remember when everyone was in love with Back To The Future day? So does @Toyota https://t.co/vIwrRRhHQ6 https://t.co/XrLnsnGLyK,ad,11/19/2015  9:23 PM,en,1,3,0.6369
autotalk,3163,6.674364E+017,Gotta love the #BacktotheFuture #Tacoma in the #Toyota booth #losangelesautoshow #LAAS… https://t.co/HYAcjUva5d,ad,11/19/2015  8:16 PM,en,0,0,0.6369
JpKalkman,27,6.7023493E+017,@boliviatravel1 @dakar #love that #toyota #hilux :-),car,11/27/2015  1:37 PM,en,0,0,0.3182
thulih19,122,6.6995556E+017,I love this Toyota aygo ad or whatever they call it,car,11/26/2015  7:07 PM,en,0,0,0.6369
davisgkdm,32,6.6988454E+017,"@Toyota The past (1996, 395990 miles), The present (2006, 134680 miles), The future (2016, 71 miles). Love Corolla. https://t.co/zeBg0c6kpD",car,11/26/2015  2:24 PM,en,0,0,0.6369
Michael_McCourt,273,6.6986741E+017,We are making some great progress with our Great Toyota Drive and I love my new Tundra.  Awesome ride! https://t.co/QBrkRcuk13,car,11/26/2015  1:16 PM,en,1,0,0.9665
Sparkle_Lynn,3833,6.6976067E+017,I kid I kid lol I have a Toyota Camry and love it dearly,car,11/26/2015  6:12 AM,en,0,1,0.8689
tinocrane68,357,6.6969499E+017,@Toyota Counting on it!!! Love my Prius!! #bringonthenext100000!!,car,11/26/2015  1:51 AM,en,0,1,0.7482
pj_esq,67,6.6964661E+017,I am in love with the Toyota GT 86. Thing o beauty it is.,car,11/25/2015 10:39 PM,en,0,0,0.8494
fuelzilla,1370,6.6959774E+017,"#prius I am in love with my recently purchased Prius C.  My Toyota 4Runner lost it  s transmission at 180,000 a https://t.co/J6fkcj6wxg",car,11/25/2015  7:25 PM,en,0,0,0.4404
Randy_Haas,5448,6.6959243E+017,@mohiclaire @freemanste I actually love my Toyota (Camry) - amazing car.,car,11/25/2015  7:04 PM,en,0,2,0.8402
buncit08,7,6.695649E+017,Owning a Toyota is everyone's dream like me.. love the sexyness of tis car fitted with TRD Kit. @Frenzy_Faezah https://t.co/NBsti7n2on,car,11/25/2015  5:14 PM,en,0,0,0.8271
ShelbsKeiff,364,6.6954674E+017,My new whip you guys! #love #toyota #corolla 🚗💙 https://t.co/fUO5bQiXE2,car,11/25/2015  4:02 PM,en,0,0,0
AnnaPizzapasta,619,6.6937735E+017,@Toyota How I would LOVE the 2016 Toyota Tacoma!!,car,11/25/2015  4:49 AM,en,0,2,0.7592
JohnnieBellamy_,1534,6.6933711E+017,love their toyota brigade too https://t.co/DR1HCIETZX,car,11/25/2015  2:09 AM,en,0,0,0.6369
DandDubs,116,6.6932652E+017,I love @FaZeJev!!!! I don't want your Toyota corolla!!!,car,11/25/2015  1:27 AM,en,0,0,0.7308
_Lazerray_,9,6.6932634E+017,We have an Avalon and love it!!  It is a great family car and very reliable.  Pretty good... https://t.co/kP5nEaK5sx https://t.co/ky3DeTfuBI,car,11/25/2015  1:26 AM,en,0,0,0.9241
xpcamper,162,6.693021E+017,#Toyota #toyotatundra getting some #overland love with a much larger Fuel Tank to literally… https://t.co/7SdX0rw90Q,car,11/24/2015 11:50 PM,en,0,0,0.6369
GreenEyedGuide,567,6.6929508E+017,@imperionissan Yep. New transmission for my @Toyota Camry. Love that car SOOO much.,car,11/24/2015 11:22 PM,en,0,0,0.7506
RagdollKitty87,1464,6.6929507E+017,@AutoTrader_com Love this Highlander https://t.co/JJXw5sAP1R #HaulidaySweepstakes,car,11/24/2015 11:22 PM,en,0,0,0.6369
TonyJWriter,4364,6.6928756E+017,"@99forever I have a Toyota Matrix right now - Fit seems almost as big as that, no? Love the utility.",car,11/24/2015 10:52 PM,en,0,0,0.6705
CarDealerReview,3683,6.6926879E+017,"We recently purchased a brand new Toyota Highlander XLE, which we are in love with! Our Sales Associate, Jody ... https://t.co/YZp15YLfPC",car,11/24/2015  9:38 PM,en,0,0,0.6696
athena_white,552,6.6923633E+017,"@Monaee_Lynn10 man, I love my little Toyota 😂",car,11/24/2015  7:29 PM,en,0,0,0.6369
jazminjanae,1379,6.6920132E+017,I absolutely love my Toyota but being in that car was very humbling 😂,car,11/24/2015  5:10 PM,en,0,0,0.4111
ohgiez,395,6.6910354E+017,Mitsubishi Montero sports ❌❌❌ Toyota Fortuner ✔✔✔ *love your own* 😊,car,11/24/2015 10:41 AM,en,0,0,0
exlaz,21,6.690431E+017,I don't know who you are but I love you. #toyota #scion #scionfrs #cars #oc… https://t.co/CSdUdWbFpN,car,11/24/2015  6:41 AM,en,0,0,0.7783
FabiolatFabiola,22,6.6901403E+017,I have the Corolla and I love it drives good and it's very fuel efficient and mine is the... https://t.co/7H3VjzFePT https://t.co/wlVpAueCha,car,11/24/2015  4:45 AM,en,0,0,0.8801
Nonnahs_sna,110,6.6896929E+017,Just realized I got the Rav 7 years ago yesterday! Still love this beauty!! #Toyota #proudowner,car,11/24/2015  1:48 AM,en,0,0,0.8904
RTShark,474,6.6892134E+017,Finally after like 6 weeks away I get to play @projectcarsgame again.  Love the @Toyota_Hybrid car.  First laps. https://t.co/GOV54ngWg8,car,11/23/2015 10:37 PM,en,0,0,0.8442
chrish61,83,6.6889016E+017,Love Love Love my Prius!!!!! https://t.co/v0O7z3TnG6,car,11/23/2015  8:33 PM,en,0,0,0.941
carsofcairo,54,6.6888767E+017,The rear of Ibrahim's Toyota Hilux has just as much character as the front. I love the fact you can… https://t.co/U2pnyChpdy,car,11/23/2015  8:23 PM,en,0,0,0.6369
adforum,24041,6.6887798E+017,"Even inanimate objects carpooling to work love the @Toyota #Scion. Weird, right? By @droga5 https://t.co/dvKkLIYGsB https://t.co/v6qhkL7lOe",car,11/23/2015  7:45 PM,en,0,0,0.5423
xtinedanielle,3984,6.6886443E+017,"@Toyota Fantastic. Beat the crowds, for sure. Love all the trunk space the #Corolla offers! #SeasonOfGiving",car,11/23/2015  6:51 PM,en,0,1,0.8858
Cynycter,606,6.6886279E+017,Oh Gawd...I saw a 2000 Toyota Chaser Tourer V on Wheels..clean like a whistle...Very few ppl know how much i love those cars,car,11/23/2015  6:44 PM,en,2,0,0.7717
MossBrosToyota,115,6.6885162E+017,We love the spruced up interior of the 2016 #Toyota #Corolla S. https://t.co/lTv9HXBAyp,car,11/23/2015  6:00 PM,en,0,1,0.6369
raphiggy,792,6.6873703E+017,I love it when we're cruisin' together  🎶🚗 @ Toyota Rav-4 https://t.co/mlhEtIjO03,car,11/23/2015 10:25 AM,en,0,1,0.6369
DisorderCM,295,6.6873306E+017,📷 radracerblog: Toyota Celica GT ra65 Unf love them ugly boxes https://t.co/moX6fGdTad,car,11/23/2015 10:09 AM,en,0,0,0.5766
