Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
miss__scarlet,472,6.4821785E+017,who is this woman in these #toyota commercials? I hate her.,ad,9/27/2015  7:29 PM,en,0,0,-0.5719
ShawnBalint,1222,6.45784E+017,"Dear Toyota, I hate your Let's Go First Games commercial.  There's nothing wrong with it either.  Just a missing chapter in my story.",ad,9/21/2015  2:17 AM,en,0,1,-0.1891
amitation,613,6.4514529E+017,"hate the ""We are Toyota"" ad.",ad,9/19/2015  7:59 AM,en,0,0,-0.5719
GoWestYoungMan1,113,6.4502101E+017,"Note to @Toyota I HATE, detest, abhor your radio commercial! what was the coooossT to make it! Ugh! #Annoying",ad,9/18/2015 11:46 PM,en,0,0,-0.9024
callahan_deej97,633,6.4745231E+017,"okay, toyota camry, we get it. you hate us. that's fine. we hate you too.",car,9/25/2015  4:47 PM,en,0,0,-0.6908
aaronhuff,391,6.4704309E+017,"@TBrown_80 airing in public access for the Cincy area. I suppose nothing says ""prime hate monger material"" like a Toyota Siena",car,9/24/2015  1:41 PM,en,0,0,0.6703
the_gun_guy345,460,6.4690863E+017,"If there is one thing that I hate almost as much than priuses, terrorists, socialists/commies, and soccer it's gotta be toyota trucks 😑�",car,9/24/2015  4:46 AM,en,0,0,-0.8316
kccars,2056,6.4689871E+017,"Toyota Tacoma $14000: I am selling my 2007 Toyota Tacoma. I hate to get rid of this truck, but I am in need of... http://t.co/YN2Erq3ne6",car,9/24/2015  4:07 AM,en,0,0,-0.3291
CowshedDan,542,6.4672737E+017,"Hate Toyota Prius cabs, more like Brian the snail cabs",car,9/23/2015  4:46 PM,en,0,0,-0.228
JouhnBrado,45,6.4654957E+017,"The article did jolt me a little, since I own a Toyota myself and didn't . I hate it and wouldn't recommend... http://t.co/mx73RRUprt",car,9/23/2015  5:00 AM,en,0,0,0.4585
akashiseii,106,6.4644661E+017,My hate for Toyota corollas grow every day to the point my family has to tell me about their experiences with corolla drivers,car,9/22/2015 10:10 PM,en,0,0,-0.5719
tyrabnks,1379,6.4636317E+017,why does everyone hate Toyota Prius? it's such a nice car,car,9/22/2015  4:39 PM,en,0,2,-0.2263
whyracheal,83,6.4613999E+017,IF YOU EVER SEE ME IN A STUPID ASS TOYOTA COROLLA ITS MY MOMS CAR AND I HATE IT TOO,car,9/22/2015  1:52 AM,en,1,3,-0.891
MaysCaleb,504,6.4606897E+017,People that hate on Toyota saying they don't last...34 years and mine still going strong 👀🐸☕️,car,9/21/2015  9:10 PM,en,0,2,-0.1027
shutterMuggz,397,6.4562462E+017,"@HomelessLive 2002 Toyota Camry like 180,000 and it has a lot of weird electrical issues. Kinda hate it... Need to replace soon",car,9/20/2015  3:44 PM,en,0,1,-0.3832
_juleezuuuuh,260,6.4506862E+017,seriously fucking hate that I can't charge my phone without the car being on. fuck you Toyota.,car,9/19/2015  2:55 AM,en,0,1,-0.8479
Rev_Xavier,4292,6.4781552E+017,"And yes. If you have a Toyota Prius or any year of a Chevy Impala and you're hogging the fast lane, I hate you.",car comparison,9/26/2015  4:50 PM,en,0,0,-0.25
MongooseInk,299,6.4822714E+017,"Meanwhile, Toyota continues to hate drivers. http://t.co/yve4hGb2mq",company,9/27/2015  8:06 PM,en,0,1,-0.5719
AirportHaircuts,94,6.4815043E+017,"I choose to hate Toyota because they only make shitty cars, which happen to be built in America.",company,9/27/2015  3:01 PM,en,0,0,-0.8074
TylerShivers_,492,6.4749791E+017,It's kinda a love hate relationship. #Toyota https://t.co/TZw20HxLK2,company,9/25/2015  7:48 PM,en,0,0,0.1243
Cbailey14C,428,6.4742466E+017,@CRASH82COLLEY hey we all give each other hell but in the end... We al hate Toyota and Honda.. Lol,company,9/25/2015  2:57 PM,en,1,2,-0.631
Keef105,836,6.4689748E+017,Nobody hate me or anything I do more than Toyota 😂 she's my motivation 💪🏾,company,9/24/2015  4:02 AM,en,0,0,-0.3182
princessjaelyne,2270,6.4688361E+017,"""we just bought you a toyota it's in the driveway"" mm i fucking hate my family http://t.co/sDD5kUmU5b",company,9/24/2015  3:07 AM,en,0,8,-0.6115
e2e_Jozi,62,6.4557843E+017,@seansheraton I bet you hate Toyota &amp,company, Lexus too 😂,9/20/2015 12:41 PM,en,0,1
gabbymurillo,298,6.4522398E+017,I always forget how much I hate Toyota until I'm at work,company,9/19/2015  1:12 PM,en,0,1,-0.6808
TravisGuinnKK5,211,6.4782698E+017,I hate to see any team switch from #Chevy to #Toyota,company comparison,9/26/2015  5:36 PM,en,0,0,-0.5719
WildnAlex,546,6.4676791E+017,"@DjCastillo04 it won't ☺️ I drive a Honda, not a Toyota 😉 they hate Toyotas.",company comparison,9/23/2015  7:27 PM,en,0,4,-0.5719
arcticanwxar,2219,6.4725782E+017,@Adeeba__ why tf am I not in this wth I hate this I hate Toyota Park why does that have to be a thing I'm so upset,company owned,9/25/2015  3:54 AM,en,0,1,-0.941
GorgeousKrystle,891,6.4574077E+017,I would hate to be driving through downtown with that traffic to the Toyota center,company owned,9/20/2015 11:26 PM,en,0,0,-0.5719
Cosa_Rica,816,6.4746782E+017,I haaaate this Toyota dealership. Hate.,dealership,9/25/2015  5:48 PM,en,0,0,-0.5719
lindsslovee95,125,6.4704706E+017,I hate sitting and waiting at the toyota dealership while they do my car,dealership,9/24/2015  1:56 PM,en,0,0,-0.5719
hate_kaminapan,5563,6.4625528E+017,#JoyOfOwningAToyota spell bounded with customized maintenance of @Toyota_India! This surely deserves a thumbs up  http://t.co/nf9O0On8dS,dealership,9/22/2015  9:30 AM,en,0,0,0.4926
hate_kaminapan,5563,6.4594164E+017,Toyota always delighted customers by their best services  #JoyOfOwningAToyota http://t.co/4rRPYYk9pq @Toyota_India,dealership,9/21/2015 12:44 PM,en,0,0,0.8176
RCash_Back,1,6.4496816E+017,What do you think of the new #Prius design? Love it or hate it? http://t.co/BmWgWwQPPw,dealership ad,9/18/2015  8:16 PM,en,0,0,0.2168
jasonagastrich,140992,6.4790346E+017,"""I hate seeing single people driving gas-guzzling SUVs and I think they have brain damage."" - mother nature @ford @chrysler @toyota @nissan",driver,9/26/2015 10:39 PM,en,1,0,-0.5719
RM_Preston,716,6.4694444E+017,"Someone is sitting outside feathering the throttle on their tricked out Toyota and I have a very, very special hate for them.",driver,9/24/2015  7:09 AM,en,0,2,-0.3758
_divadeee,61,6.4687642E+017,I fucking hate Toyota Corolla drivers,driver,9/24/2015  2:38 AM,en,0,0,-0.6115
carIostagram,1179,6.4570985E+017,Seriously if you drive a toyota corolla or a honda civic there's a 100% i hate you,driver,9/20/2015  9:23 PM,en,0,1,-0.6597
antie88,406,6.4825117E+017,@kansaskim88 Lets start a We hate Gibbs &amp,racing, Toyota club lol,9/27/2015  9:41 PM,en,0,1
HUNTMANTONY,220,6.4825089E+017,Oh how I hate Toyota's especially the JGR ones — feeling annoyed,racing,9/27/2015  9:40 PM,en,0,0,-0.7003
AdamGropper,817,6.4824757E+017,Crap... @mattkenseth won. I hate Toyota so much right now and @JoeGibbsRacing. So here is my 👎's down. CRAP YOU! 😡💢,racing,9/27/2015  9:27 PM,en,0,0,-0.561
2TeamPenske22,658,6.4824747E+017,Did I ever mention how much I hate losing to Toyota every week.,racing,9/27/2015  9:26 PM,en,0,1,-0.743
TreHolmes11,316,6.4815974E+017,"Hate to say it, I believe Toyota will be the manufacture to beat next season with addition of FRR. I know its early, but thats what i think",racing,9/27/2015  3:38 PM,en,0,0,-0.3291
ajetdryer,941,6.4794097E+017,@KCJO388789 @pippy29 @NASCAR_XFINITY @erik_jones Seems like you Jr fans really hate Toyota guys.,racing,9/27/2015  1:08 AM,en,0,0,-0.3597
fireboats,21,6.4778993E+017,I really hate to see @MartinTruex_Jr  back in @Toyota I just don't like @Toyota They have a bad history.,racing,9/26/2015  3:08 PM,en,0,0,-0.8626
dmc_21,1733,6.4733459E+017,"Warriors have a proud record in Toyota Cup so no need to hate on them, better luck next year boys #Warriors",racing,9/25/2015  8:59 AM,en,0,4,0.3472
BoltonBiggs88,34,6.4577697E+017,@inferno010ss @keselowski I Hate Toyota In NASCAR I Wish Gibbs Would Go Back To Chevrolet,racing,9/21/2015  1:50 AM,en,0,0,-0.25
TheLowesChevy,269,6.4572201E+017,I hate NASCAR and Toyota!!,racing,9/20/2015 10:11 PM,en,3,7,-0.6467
firedogret,905,6.453616E+017,#Nascar     the cup drivers stink up the xfinity series...who the hell wants to watch Kyle and jgr dominate both series...hate Toyota,racing,9/19/2015 10:19 PM,en,0,1,-0.8316
michael_mrucz,15064,6.4493595E+017,@julia_pfeiffers obsessed lol and I like sauter the most but crafton too. I just wish they stayed with Chevy bc I hate Toyota. Who's yours?,racing,9/18/2015  6:08 PM,en,0,1,-0.0516
LITTLEBASTARD03,129,6.4825151E+017,@DeLanaHarvick  BEST   CAR  BEST  DRIVER  HATE   FUEL  RACES NEXT  WEEK  HAVE A SAFE TRIP  HOME  #HARVICKSTHEBEST  hate #TOYOTA!!!!,yes,9/27/2015  9:42 PM,en,0,0,0.8193
joey22fan22,3422,6.4819985E+017,@SlicedSmoke14 A &amp,yes, B. Some people say its rigged for Toyota 😂😂 dumb ppl..&amp, a lot of ppl hate Penske drivers,9/27/2015  6:17 PM,en,0
shelldale7811,40,6.4817001E+017,"@JennyOkie Am I missing something? Why do people hate Toyota? Lol...I feel ignorant! But yeah, no reason to spew hate towards MTJ!",yes,9/27/2015  4:19 PM,en,0,0,-0.9126
This_is_Jimmie,100,6.4760167E+017,I don't see how you can judge n' hate on a nigga in a private jet...you ain even driven a toyota passo in your lifetime my nigga!!!,yes,9/26/2015  2:40 AM,en,1,2,-0.6784
ShellyBuns3,342,6.4739944E+017,Hate when ppl ask if I've got converted to toyota yet 😩 I'm still waiting .,yes,9/25/2015  1:17 PM,en,0,1,-0.5719
flintmech,476,6.4711336E+017,(I actually think this looks pretty fuckin rad but I also still hate that it exists) http://t.co/rNbI8V2KDf,yes,9/24/2015  6:20 PM,en,2,1,-0.6059
shadycracka,164,6.4703666E+017,@DVERandy @dveBillCrawford I hate doing it but some people deserve it! http://t.co/bur17RgXsX,yes,9/24/2015  1:15 PM,en,0,1,-0.3903
james_snyder30,459,6.4663423E+017,This being up early is good for getting McDonald's breakfast but that's about it lol I'm really tired WHY DOES TOYOTA HATE ME 😂😂,yes,9/23/2015 10:36 AM,en,0,1,-0.7775
PrincessBaileyV,288,6.463678E+017,Just heard a man refer to a 'really nice car' as a 'Toyota Taurus.' I hate my fucking school,yes,9/22/2015  4:57 PM,en,0,1,-0.1548
Toyota_CAMRYx3,825,6.4635896E+017,lowkey hate empire but Ima still watch it 😕,yes,9/22/2015  4:22 PM,en,0,0,-0.3291
NgwanaT,1115,6.4633737E+017,"You can't hate on polo drivers that time you drive a corsa, Feista, Kia, all Toyota crap, Mazda etc if we ain't shit then y'all ain't shit?",yes,9/22/2015  2:56 PM,en,0,0,0.2607
TheSlimGoddess,7568,6.4632004E+017,@LesaMonroe La'Toyota? You know I hate you right?😭,yes,9/22/2015  1:47 PM,en,0,0,-0.6199
Toyota_CAMRYx3,825,6.4612053E+017,wanted to rip Manarya into shreds man. Fckn hate her,yes,9/22/2015 12:35 AM,en,0,0,-0.5719
BayRidge_Toyota,769,6.4599465E+017,“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”... http://t.co/piux9Thx,yes,9/21/2015  4:15 PM,en,0,0,0.6414
Magic_SpiderMan,333,6.4577697E+017,Kinda hate the fact toyota takes away my weekends ....,yes,9/21/2015  1:50 AM,en,0,1,-0.5279
Grifferin,632,6.4565384E+017,No hapana. It's like saying you hate Rolls Royce but love Toyota  https://t.co/Wyd1PgWJrJ,yes,9/20/2015  5:40 PM,en,0,1,0.6808
JGR_BRRL,59,6.453763E+017,@roymunson9 WE ARENT REAL FUCKBOY WE ARE A VIDEO GAME TEAM!! I HATE TOYOTA TOO!!! DONNY T FOR PRESIDENT!! #MakeAmericaGreatAgain,yes,9/19/2015 11:17 PM,en,0,0,-0.765
Toyota_Secoya,1719,6.4526422E+017,I Hate When People Rush Me When Im Double Parked Like Hello How You Doing You Gotta Wait 💁🏽Tuhh,yes,9/19/2015  3:52 PM,en,0,0,-0.296
Toyota_Secoya,1719,6.4524706E+017,I Hate Going To This Nail Salon At Bno Bitches So Ratchett 😒,yes,9/19/2015  2:44 PM,en,0,0,-0.8225
Pyrexmama,17,6.4519461E+017,@KrissJenner  (chuckle)  Plural is mice. I hate rodents 2. I bought a Toyota from a 96 yr old. It was a cream puff...NOT!  deer mice nests..,yes,9/19/2015 11:15 AM,en,0,0,-0.6114
