Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
Massvwatches,121,6.9026047E+017,@TheDailyShow @sonofselassie @hasanminhaj Dunno why people hate gun companies so much.You dont blame Toyota or Budweiser for drunk drivers,1,1/21/2016  7:51 PM,en,0,0,-0.7352
sophiaasticated,1534,6.9024899E+017,They're about to start my car at Toyota &amp,, it's gonna blare nirvana lmao I hate myself,1/21/2016  7:05 PM,en,0,2
ChristoferVeliz,269,6.9017727E+017,I hate how at Toyota they give us our paycheck stubs 2 days before they actually pay us...,,1/21/2016  2:20 PM,en,0,0,-0.6249
therealkldy,5,6.9004395E+017,"#ChildrenInFreezer :When we visit my dad,kids dnt play in that old toyota! I make sure.Coz I'd hate 4it 2accidentally close with them in it",1,1/21/2016  5:31 AM,en,0,0,-0.3802
Mikayla_Mfa,299,6.8998075E+017,I love dodge but hate that they didn't resign the Cummins contract now Toyota has it.. Wtf!😩,1,1/21/2016  1:20 AM,en,0,0,-0.2933
EliMdza_,304,6.8994134E+017,I hate driving in the snow with my truck. A fucking 1992 Toyota Camry drives better than that truck in the snow😒,1,1/20/2016 10:43 PM,en,0,1,-0.2023
lydiamlutz,58,6.8989768E+017,@naomi__dean my dads 1981 Toyota pickup😂 I hate it so much😡😭,,1/20/2016  7:50 PM,en,0,0,-0.5719
emma_rose224,197,6.8957828E+017,"To the dirty Toyota with the sticker ""don't hate just vape"" I hope you know that doesn't rhyme.",1,1/19/2016 10:40 PM,en,0,1,0.4585
kellyjohnsonn26,389,6.8955922E+017,"@BrennaKing_ don't hate on Toyota, I'll fight u",1,1/19/2016  9:25 PM,en,0,0,0.1022
jrisgr88,1351,6.895526E+017,@SoCalRaceGirl14 @MartinTruex_Jr @FR78Racing @BassProShops Love Truex hate Toyota oh well can't root for him this yr,1,1/19/2016  8:58 PM,en,0,0,0.3818
gracerodriguez,9858,6.8952525E+017,@shiondev Hate it. I like brands who hire people to actually talk to me. Like @Toyota did: https://t.co/NqqXZ5dflT Or was that faked better?,,1/19/2016  7:10 PM,en,0,0,0.4939
HarsiSodhi,92,6.8949736E+017,"Even though i hate Toyota, but if you got one and go to a showroom to do car service. I'm sorry but you are stupid.",,1/19/2016  5:19 PM,en,0,0,-0.8126
EliFitch,599,6.8943631E+017,Driving a Toyota wow this guy must really hate America  https://t.co/uDd84f6BOn,1,1/19/2016  1:16 PM,en,0,0,-0.0498
jazzdedogg,75,6.8938452E+017,Sat in a mini cab going back to work. I HATE TOYOTA PRIUS'S. Always feel sick when I'm in them.,,1/19/2016  9:50 AM,en,0,0,-0.8286
yoshinofarmky,640,6.8924532E+017,"@ZTOESQ @BillKET Japanese companies hate unions, Toyota got carve out from forced unionization 2 come here.",1,1/19/2016 12:37 AM,en,0,0,-0.7717
amoongazer,8,6.8923265E+017,"@Toyota gotta be honest, love my #Rav4Limited, hate the voice command. NEVER works as intended.",,1/18/2016 11:47 PM,en,0,0,0.5859
Ammateri,6547,6.8898499E+017,@I_PFreely they just copying big brands.... That's why i hate them and their stuff is like Toyota cars.. They won't last,1,1/18/2016  7:23 AM,en,0,0,-0.296
mezaluis988,226,6.8894537E+017,So like I fucking have a car and I fucking hate it cuz it's a 2015 Toyota and it to fast fuck that,,1/18/2016  4:45 AM,en,0,0,-0.6908
yngsavage_,531,6.8892773E+017,Hate girls that expect a nigga to drive a nice car and have money and this &amp,1, that...when she driving a Toyota or some bullshit ass car,1/18/2016  3:35 AM,en,2,2
PocketVolcano,1713,6.8885289E+017,@ProWrestlingEVE Akira Hokuto. Hands down. Hate that her shorter career than Aja or Toyota cuts her from a lot of people's consideration.,1,1/17/2016 10:38 PM,en,1,3,-0.7096
AutoNewsBot,2908,6.8870753E+017,#ToyotaNews : 2016 Toyota Prius Ugly Design Forgiven: The hate for the new Toyota Prius was very real when Toy... https://t.co/XXVDEWaAyM,,1/17/2016  1:00 PM,en,0,0,-0.6597
RumpusRumpus,6,6.8858012E+017,#itdidntflip I hate the Toyota hag,1,1/17/2016  4:34 AM,en,0,0,-0.5719
tristantyshawn,1067,6.8849561E+017,@Toyota_CAMRYx3 Camry I hate you,,1/16/2016 10:58 PM,en,0,0,-0.5719
Adam_marchetti,764,6.8847093E+017,sniffing: geodude: I HATE ALL OF YOU @sniffing and @toyota in my defense I just found out that was you https://t.co/jgF7FINkZd,1,1/16/2016  9:20 PM,en,0,0,-0.6037
patrick9030,104,6.8821227E+017,Don't hate on #Toyota #Prius #owners https://t.co/u6wdDoeOnu via @YouTube,1,1/16/2016  4:12 AM,en,0,0,0.4585
Its_Mark,295,6.8814321E+017,.@Toyota using Gesaffelstein's Hate or Glory to advertise is my favorite thing of 2016 so far.,,1/15/2016 11:38 PM,en,0,0,0.4215
KirkBryza,61,6.8813244E+017,Hate these things. https://t.co/pmBWtzZN8b,1,1/15/2016 10:55 PM,en,0,0,-0.5719
LizJNorris,547,6.8812512E+017,I just asked to get into my car at the Toyota service shop to get my shades for an exchange tonight..... I hate myself,1,1/15/2016 10:26 PM,en,1,6,-0.5719
BlueBalloonist,325,6.8811421E+017,I added a video to a @YouTube playlist https://t.co/qBnjfoKndc Don't hate on #Toyota #Prius #owners,1,1/15/2016  9:43 PM,en,1,1,0.4585
SeeMeTwerk,29,6.8803092E+017,"I hate to say, but the new Chevy Malibu is just as nice as a Toyota Avalon but about 10k cheaper. People, come buy these things!",1,1/15/2016  4:12 PM,en,1,0,0.3903
johnnysole,680,6.8785913E+017,"For Cdale ppl who know how much I hated Marion Toyota guy,I now hate radio guy who announces dinosaurs at convention center on radio as much",1,1/15/2016  4:49 AM,en,0,0,-0.836
MaximumWolfson,246,6.8782203E+017,I hate Ted Cruz but I bet he would sell THE SHIT out of a used Toyota Tercel and that's a fact,1,1/15/2016  2:22 AM,en,0,0,-0.8537
aphong93,80,6.8781976E+017,"Hate to say it, but a Prius may be in my future. Toyota is the only one that has a Plug-in Hybrid Hatchback. D=",,1/15/2016  2:13 AM,en,0,1,0.4587
PranTheGreat,74,6.8769879E+017,"""if you hate driving, get a Toyota. it's like a sleeping pill. that's why they made Prius. they made the worst of the worst""",,1/14/2016  6:12 PM,en,0,0,-0.886
itsZist,454,6.8768695E+017,@I_Be_Ninjaa in like 30 min tho bc I'm at the @Toyota dealership AND IVE BEEN HERE FOR 2 HOURS AND I HATE YOU TOYOTA,,1/14/2016  5:25 PM,en,0,1,-0.4466
LuciPaulk,79,6.8763332E+017,Hate ppl who drive 45 in a 55 in their flashy little cars on a 2 lane road. My Toyota needs to get to work sir!,1,1/14/2016  1:52 PM,en,0,0,-0.6114
MidwstHotMess,3273,6.8750873E+017,@SassyVAGirl @_TheDieselMan_ I love Lexus but hate Toyota,,1/14/2016  5:37 AM,en,0,0,-0.5346
NOTCOLEREAVlLL,593,6.8745251E+017,@ChiIIVlbes Why? That's a '98 Toyota pickup with wool blankets in the bed. But because it has a filter it's #Goals I hate my generation SMH,1,1/14/2016  1:53 AM,en,0,0,-0.7739
RAEHLroad,619,6.8737551E+017,I think the people at Toyota hate me,,1/13/2016  8:47 PM,en,0,0,-0.5719
ADRiiENNEJ,278,6.8732315E+017,I hate Toyota dealership here thats why I need a new car,,1/13/2016  5:19 PM,en,0,0,-0.5719
EtheWHITAKER,173,6.8697371E+017,@KristofurFox @Vanos_Sheppy Lololol! The only Toyota I love to hate on.,1,1/12/2016  6:11 PM,en,0,1,0.2003
MrPakiz,2146,6.8697307E+017,@Ihsan_gill i hate Toyota cars 😂,,1/12/2016  6:08 PM,en,0,0,-0.5719
