Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
6db041be3d05451,146,7.0667722E+017,"@JoParkerBear @Hobo_Splendido Me ,i recycle whateever i can,drive a 99 toyota corolla,and fukkin hate guns😆✌💝🌈🍀",1,3/7/2016  3:05 AM,en,0,0,-0.5719
Mike_Ryan80,234,7.0655177E+017,If you drive a Toyota RAV4 I hate you.,1,3/6/2016  6:47 PM,en,0,0,-0.5719
TarHeelRacing,247,7.0650435E+017,@KYcatfishBilly @DrunkBrianF I hate Toyota. It never should have been allowed in NASCAR. Did NASCAR forget it is a JAPANESE company???,1,3/6/2016  3:38 PM,en,0,0,-0.7303
_F64_,98,7.0635973E+017,"@Toyota  That's what I hate about car ads. Always selling you some imaginary bs about fam and even ""Hp"". When all we want is all the facts.",,3/6/2016  6:04 AM,en,0,0,-0.5267
BetweenTheAxles,3422,7.063292E+017,#Toyota #CHR wants to be as polarizing as the #Nissan #Juke. Like it or hate it? Details: https://t.co/9GuppalRuI https://t.co/XFigryGCFP,1,3/6/2016  4:03 AM,en,0,0,-0.296
HMS4824FAN,619,7.0626769E+017,not going to read the NASCAR tweets and FB stuff all going to be that was boring I hate Kyle Busch and Toyota stuff,1,3/5/2016 11:58 PM,en,0,1,-0.7184
MeLlamoJocelin,227,7.0587891E+017,I hate how the guy from the Toyota dealership that sold my dad his car ALWAYS goes to my job.,1,3/4/2016 10:13 PM,en,0,0,-0.5719
Lspesh,1097,7.0584552E+017,Fucking hate those shitty Toyota Prius',,3/4/2016  8:01 PM,en,0,0,-0.8341
ali_salah_95,425,7.0584037E+017,"@ZizoBarwari @_Bann_98 I'm so hate kia i love ( toyota , nissan , bmw, marceds , audi, range ) but as for my toyota land cruser the best",,3/4/2016  7:40 PM,en,0,2,0.6023
dearadrixx,561,7.0583244E+017,Gah I hate being @ Toyota. Soooo boring!!!,,3/4/2016  7:09 PM,en,0,0,-0.783
lordfiness_,219,7.0573426E+017,Hate them Toyota niggas like the service writers cause they don't know shit,,3/4/2016 12:38 PM,en,0,0,-0.1719
sinatrafreak,233,7.0561982E+017,HATE the new #Toyota.com/prius commercials..dudes robbing the bank &amp,, becoming nat'l heroes. I CALL BULLSHIT!!,3/4/2016  5:04 AM,en,0,0
LIAMSDAlSlES,3023,7.0561684E+017,I struggled so fucking hard paying this payment oh my god I hate you and your stupid website @Toyota,,3/4/2016  4:52 AM,en,0,0,-0.8545
huntercomando17,81,7.0554041E+017,FUCK TOYOTA SEAT BELTS I HATE THEM SO MUCH,,3/3/2016 11:48 PM,en,0,0,-0.802
Ef4vescent,879,7.0548261E+017,I bloody hate that Toyota use a crappy cover of Bowie's Changes to advertise their RAV 4 😡,,3/3/2016  7:58 PM,en,1,1,-0.8807
DiRagga,1258,7.0547926E+017,I love toyota! Less gas! And cheap to maintain! The only thing i hate is when i put somet... https://t.co/k0dBAmcbZL https://t.co/iv2xBvQh45,,3/3/2016  7:45 PM,en,0,0,0.3348
jaseyraebans,3343,7.0513698E+017,@MTVteenwolf @Toyota I hate you guys,1,3/2/2016  9:05 PM,en,0,4,-0.5719
Shankovich,88,7.0509694E+017,"I have a heavy bias against pickup trucks in general (hate their look), but today Uber driver had a Toyota Tundra",1,3/2/2016  6:26 PM,en,0,0,-0.0516
