Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
GlennCrockford,125,7.0608208E+017,Love the look of the Toyota CHR....Top 10 cars launched at Geneva 2016 you should get excited about https://t.co/vxNP8l2Gsm @MailOnline,1,3/5/2016 11:41 AM,en,0,0,0.7964
laura_kayt,91,7.0607101E+017,I just drove a 2.2 litre Toyota Rav 4 and i'm in love 🚙💞 #toyota #rav4,,3/5/2016 10:57 AM,en,0,0,0.6369
RonBrooksGroup,926,7.0607059E+017,What do you think to the all-new Toyota C-HR? We love it! https://t.co/Zey4XjTG81 #ToyotaCHR https://t.co/ro9CSdjj49,,3/5/2016 10:55 AM,en,1,0,0.6696
muttbag,243,7.0605869E+017,@Toyota_Aus i love ur advert very funny :-),,3/5/2016 10:08 AM,en,0,0,0.8742
ohalx_,191,7.060029E+017,i love LOVE LIVE!! toyota and sushi are my fav characters,1,3/5/2016  6:26 AM,en,0,0,0.9289
jnkjlezv,2933,7.0592504E+017,@ToyotaRoswell never owned a Toyota but love the look of the Avalon hybrid :),,3/5/2016  1:17 AM,en,0,0,0.8957
wxfreak2689,1363,7.0591952E+017,Darrel Waltrip's love affair with Toyota and any of the Joe Gibbs drivers is honestly sickening. Makes me wanna vomit. Shut up old man,1,3/5/2016 12:55 AM,en,1,0,0.5859
davidbradshaw91,4815,7.0589278E+017,@aPropertyMattR #cars Setsuna Concept Is A Woody Idea From Toyota https://t.co/DONg8v07et love this https://t.co/ErT1ALmlOd,1,3/4/2016 11:08 PM,en,1,0,0.6369
hanabanaboo,146,7.0588136E+017,Love at first sight 🙈🙈💜💜🚗🚗 @Toyota #ToyotaCHR #ToyotaGeneva #AutoExpo2016 https://t.co/34Stpt6Ox1,,3/4/2016 10:23 PM,en,0,1,0.6369
stefmcguire,536,7.058783E+017,Is it weird I still love my 11 year old car?? #toyota https://t.co/1uPboRbrWc,,3/4/2016 10:11 PM,en,0,1,0.594
Mushishikin,6,7.0587588E+017,Haha. Just traded my old Toyota for a Mitsubishi and love it! 40mpg! https://t.co/JfgNKsOjLh,1,3/4/2016 10:01 PM,en,0,0,0.8309
DougCFSC,2279,7.0585957E+017,"Love the idea and distribution. Will have live presence at Toyota Park on Sunday, too. #cf97  https://t.co/8Y7OGonbV5",1,3/4/2016  8:56 PM,en,0,1,0.6369
kali_iatrou,388,7.0585152E+017,@UnionParkBMW yeah idk I love my Toyota so I would definitely go back with the same car I had! Toyota Corolla,1,3/4/2016  8:24 PM,en,0,0,0.8508
megan_hayes,4177,7.0584125E+017,Love it! #yoda #toyota https://t.co/nz83T5GEIY,1,3/4/2016  7:44 PM,en,0,1,0.6696
ali_salah_95,409,7.0584037E+017,"@ZizoBarwari @_Bann_98 I'm so hate kia i love ( toyota , nissan , bmw, marceds , audi, range ) but as for my toyota land cruser the best",1,3/4/2016  7:40 PM,en,0,2,0.6023
manfresi,989,7.0582529E+017,Man I love that Toyota Hilux commercial.,,3/4/2016  6:40 PM,en,0,0,0.6369
Cramordap,49,7.0582446E+017,That moment you sell a car in all @NewYorkRedBulls attire! LOVE IT! @DCH_ToyotaCity #rbny #toyota #redtogether,1,3/4/2016  6:37 PM,en,1,4,0.7592
4wheeloffroad,2826,7.0581509E+017,"We love a good modern classic, like this meticulously restored Ram Jet-Powered FJ40! https://t.co/siOEcnoZi6 https://t.co/jEDGklkQzm",1,3/4/2016  6:00 PM,en,0,1,0.906
veeekah,85,7.0581055E+017,I'm sitting in Toyota waiting for my truck to be serviced and this couple comes in with 3 golden retrievers. All the salesmen love them.,,3/4/2016  5:42 PM,en,0,0,0.6369
VantageMotorGrp,1601,7.058038E+017,Now on his 5th #Toyota Mr Wainwright is one loyal customer to Toyota #Tamworth. We know you'll love your #hybrid 🚘 https://t.co/ISx4nOtIB,,3/4/2016  5:15 PM,en,1,0,0.8074
Alannag123,447,7.0579057E+017,@wickanne @ToyotaMotorCorp haha that's not my doing! I promise! I think Mayen I tweeted how much I love my Toyota once like three years ago?,,3/4/2016  4:22 PM,en,0,0,0.8527
cherylj24,522,7.0576606E+017,#toyota please for the love of god stop serving me this ad on #spotify #soannoying https://t.co/zHJp1jSljP,,3/4/2016  2:45 PM,en,0,1,0.7506
HS_THEATER,1120,7.0576269E+017,Love is the windshield-washer fluid of the heart - it makes everything clearer. #nottoomuchsoapthough #HEARTSTREETTHEATER #HST #TOYOTA,1,3/4/2016  2:31 PM,en,0,0,0.6369
AAlasondro,73,7.05719E+017,I love driving. I still drive a 1993 Toyota Camry. I do want to get an elec... #JoshFox #quotation https://t.co/DV0DEilujg,,3/4/2016 11:38 AM,en,0,0,0.6705
a1_auto1,63,7.0571524E+017,That's the #Toyota #Hilux we all love and remember: https://t.co/Zr6UYpADOq,,3/4/2016 11:23 AM,en,0,0,0.6369
Snowbird_24,452,7.0569854E+017,I'm drivin a @Toyota but nothing can really beat @Ford . 😁 Love your SUV's!  Cheerios from Philippines 😁,1,3/4/2016 10:16 AM,en,0,1,0.7959
cruszaa,25281,7.0567444E+017,Woman says rodents love her #ToyotaPrius #ToyotaPrius... https://t.co/ctT011fkPz,1,3/4/2016  8:41 AM,en,0,1,0.6369
MadameRamotswe,5021,7.0565904E+017,"@noruweijin @t_toyota thank goodness we love ""evil"" humor",1,3/4/2016  7:40 AM,en,1,1,0.8957
Juunglej,3334,7.0561264E+017,"I really love that my 1996 Toyota Camry only has 64,500 miles on it 😭😭😭 https://t.co/PaHLsRFFcB",,3/4/2016  4:35 AM,en,0,1,0.6697
Ravn987,15,7.0560829E+017,"@anna_train You are gorgeous in that Toyota commercial! Didn't know you were also in Frankenstein MD, which I love! https://t.co/o8no87FKMV",1,3/4/2016  4:18 AM,en,0,1,0.8684
CatherineNAbney,90,7.05601E+017,@kauriemac It makes me wish I had 1 instead of a Toyota  😀  Although I do love my Camery  😀 ❤,,3/4/2016  3:49 AM,en,0,0,0.7845
SlavPersecution,198,7.0557501E+017,I love seeing a No Frills cause you know a nice 98 Toyota Tercel isn't far away. #suburbanpoverty,1,3/4/2016  2:06 AM,en,0,7,0.7003
Thompsons_Toy,476,7.0557353E+017,Can't get over how much we love the design of the new #Prius Three! Check it out: https://t.co/WsVk3JWlXi,,3/4/2016  2:00 AM,en,0,0,0.6696
everybdyh8sjess,645,7.0557255E+017,Hood hoes love having them ugly ass headlight lashes on they old ass Toyota Camry,,3/4/2016  1:56 AM,en,0,0,-0.7269
Starbuck_Scully,2572,7.0557059E+017,@teacherkate83 Yep! I drove it home tonight and I LOVE it...I went from a 1995 Toyota Corolla to this...It feels driving a spaceship 😆,1,3/4/2016  1:48 AM,en,0,1,0.8139
Antwann_,368,7.055638E+017,Swear i LOVE @Toyota 's commercial with the Camry 😂😂,,3/4/2016  1:21 AM,en,0,1,0.694
