Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
sommerbass89,261,6.6864453E+017,@OttoVonBiZmarck not only do I hate him buy I hate the whole new point system Toyota in NASCAR and now you so fuck off 😀👍,1,11/23/2015  4:17 AM,en,0,0,0.1292
GallesKraco3,198,6.686372E+017,"@JosephRemiB I'm also glad a Japanese company won it. There was a lot of dumb, racist people who hate Toyota being in Cup.",1,11/23/2015  3:48 AM,en,0,1,-0.6486
GavTheMav,373,6.6861528E+017,@MeltdownWRIF @pkski24 people like you are the reason I hate people. Fuck Toyota. Most American made parts doesn't mean most American jobs.,1,11/23/2015  2:21 AM,en,0,0,-0.6908
Neville95534274,328,6.6861009E+017,"@KyleBusch damn I hate Toyota.  However, my Broncos and Kyle both won today.  Good day.  Now kill ISIS.",1,11/23/2015  2:00 AM,en,0,0,-0.6705
Ghifarix,687,6.6860909E+017,@vitiok78 @marina_saniram The #NorthernAtlanticTribes joined by Samsung&amp,1,Toyota all things South Korean &amp, Japanese supports Bigotry&a,11/23/2015  1:56 AM,en,0
Ghifarix,687,6.6860899E+017,@marina_saniram @JewRussophile The #NorthernAtlanticTribes joined by Samsung&amp,1,Toyota all things South Korean &amp, Japanese supports Bigo,11/23/2015  1:56 AM,en,0
ballertroy22,325,6.6860455E+017,@mitchpopiel182 I just hate Toyota lol,,11/23/2015  1:38 AM,en,0,0,-0.2263
southwvboy,198,6.6860325E+017,@Beckyinindiana why the hate of Toyota?,1,11/23/2015  1:33 AM,en,0,0,-0.5719
2TeamPenske22,749,6.6859798E+017,"@jay_wilkins17, I hate losing to Toyota.",1,11/23/2015  1:12 AM,en,0,1,-0.743
AlexMann1992,267,6.685943E+017,So I just had to watch a Toyota win a NASCAR championship so I hate life right now,1,11/23/2015 12:57 AM,en,0,1,0.2403
2TeamPenske22,749,6.6859428E+017,"I hate losing to Toyota, period.",1,11/23/2015 12:57 AM,en,0,4,-0.743
Dalton2Cold,214,6.6859418E+017,@Richiee_Rich17 I wanted Truex to win. In a REAL championship scenario Busch wouldn't even be in it. I hate Toyota's man,1,11/23/2015 12:57 AM,en,0,0,0.4588
ballertroy22,325,6.6859379E+017,I hate Toyota and I hate Kyle Busch. Probably shouldn't hate Toyota since my uncle is high up there but oh well.,1,11/23/2015 12:55 AM,en,0,0,-0.5267
SUEYHOGSS,17,6.6859047E+017,"@KWaltz1 noooo, not KB. Hate to see a Toyota win the cup.",1,11/23/2015 12:42 AM,en,0,0,0.7781
henryb1984,139,6.6858589E+017,@superunknown111 i like kyle.. hate toyota,1,11/23/2015 12:24 AM,en,0,1,-0.296
NoxIsAnAsshole,1213,6.6857334E+017,"I just heard  ""Hate or Glory"" on a Toyota Tacoma commercial so you can all stop pretending to like Gesseflowerpot now.",,11/22/2015 11:34 PM,en,0,0,0.128
myahslaays,393,6.6853722E+017,Hate when I gotta drive this Toyota &lt,,,11/22/2015  9:11 PM,en,0,0
athensumoc48,859,6.6853009E+017,"@apetaja I hate the Toyota TV add showing them going through the desert with bikers, they look like isis. Damn Toyota",,11/22/2015  8:42 PM,en,0,0,-0.5994
lovexkaren,75,6.6851867E+017,"I hate trucks, but the Toyota Tundra is my fav if I had to choose",,11/22/2015  7:57 PM,en,0,0,0.3919
