Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
Leon_ie,1047,6.7028876E+017,Love bringing my Lexus to the Toyota dealership cuz all the free food they have😀,,11/27/2015  5:11 PM,en,0,0,0.8176
nhcarshop,353,6.7023712E+017,Check out our reduced prices! #carsforsale #BlackFriday #jeep #miata #ford #truck #toyota #live #love #easyfinancing https://t.co/kv8IPKoZNw,1,11/27/2015  1:45 PM,en,0,0,0
JpKalkman,27,6.7023493E+017,@boliviatravel1 @dakar #love that #toyota #hilux :-),1,11/27/2015  1:37 PM,en,0,0,0.3182
chun_matt,59,6.7023037E+017,"@SkySportsF1 @CroftyF1 would love Toyota, BMW, Audi, Aston Martin, Ford in F1 with Honda,Renault, Ferrari.Engine partnership or Team #skyf1",1,11/27/2015  1:19 PM,en,0,0,0.6369
184219,103,6.7021417E+017,"I love Black Friday. Not sure dog does. (49"" in a Toyota Yaris) https://t.co/12F46pkk0W",1,11/27/2015 12:14 PM,en,1,3,0.7579
Skiddingmouse,11,6.7020881E+017,@ToyotaMotorCorp @CarbuyerUK fun to drive is the only reason why people love sports cars.  Kudos to Toyota.,,11/27/2015 11:53 AM,en,1,0,0.8957
aya_lindsey,665,6.7017557E+017,in love with this new Toyota ad 😍 .. Car is horrible though 😅,,11/27/2015  9:41 AM,en,0,0,0.1779
yangeunjin85,72,6.7016201E+017,Toyota know. To me love. Upup.,,11/27/2015  8:47 AM,en,0,0,0.6369
CarsRodsCycles,69,6.7015489E+017,Toyota Love. Custom built roll cage by FXP Flex ... - #cars #hotrods #motorcycles #trucks https://t.co/ntlZ3SurJd https://t.co/7u15iWzHVw,,11/27/2015  8:19 AM,en,0,0,0.6369
kristennj11,190,6.7007999E+017,"""It's an emotional day.. I love you Kris.. I love everybody.. I love Brett farve.. I hate Toyota."" -@JeffCreighton7",1,11/27/2015  3:21 AM,en,1,2,0.8885
14crown466,155,6.7007795E+017,Today's #Enoshima #Cruising #happy #fashion #love #drive #TOYOTA #crown #athlete #GSR182 #クラウン #jp… https://t.co/l9cxoYObc4,1,11/27/2015  3:13 AM,en,0,0,0
NASCAR_Wonka,20230,6.7007679E+017,"@dnldmkl4 while I love the acronym, I drive a Toyota.",1,11/27/2015  3:08 AM,en,0,1,0.6369
dsantoj,610,6.7006977E+017,Thanksgiving and enjoying our @Toyota with the dogs at a near by field dogs &amp,1, my love angel 🐶😇❤️.  @Cr8DigitalAsset https://t.,11/27/2015  2:40 AM,en,0,1
interest1959,2398,6.7005591E+017,"@AbbieReal Not driver's error, it is sudden unintended acceleration, very common in #Toyota #Lexus. Automakers love 2 make it driver's error",1,11/27/2015  1:45 AM,en,0,0,-0.0516
kenallmonk,204,6.7004564E+017,"@HWYThruHell,@Toyota Canada,Regina and Toyota Canada Jennifer thank you for making Brandon and i feel the love ! https://t.co/N3bQcUrW6F",1,11/27/2015  1:05 AM,en,0,2,0.7901
Fightnhawks,27,6.7004514E+017,Isis terrorists love white @Toyota pickups.,1,11/27/2015  1:03 AM,en,0,0,0.0258
GingerTee407,155,6.6996794E+017,"@Toyota Hey Toyota, I love your cars. Can y'all help me fix my little 05 Corolla? Help! See my feed for info",,11/26/2015  7:56 PM,en,0,0,0.8634
thulih19,122,6.6995556E+017,I love this Toyota aygo ad or whatever they call it,,11/26/2015  7:07 PM,en,0,0,0.6369
aowheels,1189,6.6995202E+017,Would love to fix the Toyota FJ Cruiser paint. Swirl city! #jaylenosgarage,1,11/26/2015  6:53 PM,en,0,0,0.6696
mjennisch,188,6.6993891E+017,This is bad ass. I love working for Toyota Co!  https://t.co/1KFDkGswu7,,11/26/2015  6:00 PM,en,0,0,0.2003
Matty_Bonez,192,6.6991022E+017,When you out here ballin and shit throwin stacks on that 2000 Toyota Corolla....we don't love these hoes https://t.co/5Oe1jAggCd,1,11/26/2015  4:06 PM,en,0,0,-0.7887
luisyahdiel3,222,6.6990211E+017,"I love @Toyota_Hybrid's ""Barista"" film. Shows how much energy the TS040 harvests during a full lap at Le Mans. https://t.co/ziu52Z2xES",1,11/26/2015  3:34 PM,en,0,1,0.743
rohitneema3,7450,6.6989374E+017,@Ankitchomal Love cherish your day ? Follow #@Toyota_India #AgarMilkNaHota And win hug,1,11/26/2015  3:01 PM,en,0,0,0.9287
davisgkdm,32,6.6988454E+017,"@Toyota The past (1996, 395990 miles), The present (2006, 134680 miles), The future (2016, 71 miles). Love Corolla. https://t.co/zeBg0c6kpD",1,11/26/2015  2:24 PM,en,0,0,0.6369
rohitneema3,7450,6.6987601E+017,@cupcake_priya Love cherish your day ? Follow #@Toyota_India #AgarMilkNaHota And win hug,1,11/26/2015  1:51 PM,en,0,0,0.9287
Michael_McCourt,273,6.6986741E+017,We are making some great progress with our Great Toyota Drive and I love my new Tundra.  Awesome ride! https://t.co/QBrkRcuk13,,11/26/2015  1:16 PM,en,1,0,0.9665
rohitneema3,7450,6.6985828E+017,@saachigarg Love cherish your day ? Follow #@Toyota_India #AgarMilkNaHota And win hug,1,11/26/2015 12:40 PM,en,0,0,0.9287
likeusagi,372,6.6978912E+017,@Freiheit0427 I live in Toyota. I love Toyota.,,11/26/2015  8:05 AM,en,0,0,0.6369
_s_erggioo,268,6.6977777E+017,@RamirezPumbaa @__jaaaqueline and your parents love you and thank gif they Made you in back of that Toyota pick up truck ..,1,11/26/2015  7:20 AM,en,0,1,0.7717
Sparkle_Lynn,3833,6.6976067E+017,I kid I kid lol I have a Toyota Camry and love it dearly,,11/26/2015  6:12 AM,en,0,1,0.8689
chieflybombast,455,6.6975408E+017,@toyota_kamry yaasss!! I LOVE that show. You're still on season one then? What episode?,1,11/26/2015  5:46 AM,en,0,0,0.7831
Westmade_1993,111018,6.6974664E+017,Love working at the Toyota center🚀🚀🚀,1,11/26/2015  5:16 AM,en,1,12,0.6369
JazTheFlower,468,6.697452E+017,$20 getting me a full tank. It feels like in HS when I had my 98 Toyota. This is love #thanksobama @potus,1,11/26/2015  5:11 AM,en,0,1,0.7717
KBTM1997,198,6.6973354E+017,"Yea I love Chulupa's, the ballin's supa dupa, strong like DJ Fluker, just bought 12 toyota supra's #fakecamverses",1,11/26/2015  4:24 AM,en,0,1,0.875
