Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
newsonaust,841,6.5203286E+017,"#Australia #News ; The ‘evil ambassadors’ Toyota, Coke, Nike hate http://t.co/tyPDeAXgPw READ MORE; http://t.co/nkwxjXzpjj",1,10/8/2015  8:08 AM,en,0,0,-0.5719
mmeddki88557474,139,6.5203225E+017,"#news The ‘evil ambassadors’ Toyota, Coke, Nike hate http://t.co/RKQYDqTBek",1,10/8/2015  8:06 AM,en,0,0,-0.5719
pukeko65,265,6.5195717E+017,@Insolent_Minx_ @jonobasile @NZStuff I hope not as love my Toyota Corolla hate to think I am supporting that lot,1,10/8/2015  3:07 AM,en,0,2,-0.3111
JenniferMessing,326,6.5191055E+017,Any Toyota or Prius owners/lovers out there?  What do you think of the new #Prius design? Love it or hate it? http://t.co/u2NACkmb1c,1,10/8/2015 12:02 AM,en,0,0,0.2593
MsJassyRae,613,6.5189108E+017,"""It's just a Toyota"" as they're walking by, my window is down. I smile and wave. She looked disturbed. Haters gon hate, young or old",1,10/7/2015 10:45 PM,en,0,0,-0.7906
ko_ti_treba,147,6.5188681E+017,toyota: I hate when hot boys have ugly names like damn U can get it but Ur name is Wilfrido… http://t.co/u2Q9cLIgSr,1,10/7/2015 10:28 PM,en,0,0,-0.5574
Okafor_Mang,1322,6.5185205E+017,Na so Toyota Highlander take full 4 East...tufiakwa! IGBO men go make you hate a particular Car model,1,10/7/2015  8:10 PM,en,0,0,-0.6114
nevermime,205,6.517605E+017,@AmericaNewsroom @tedcruz  I hate to break the news here but everyone knows who funds ISIS and gives them weapons and Toyota pickups.,1,10/7/2015  2:06 PM,en,0,0,-0.7351
_yomo1,251,6.5162281E+017,There's two cars in my house but no one knows how much I hate riding the bmw. I rather ride the the Toyota 💁🏻,,10/7/2015  4:59 AM,en,0,1,-0.8338
phpscott,356,6.5157429E+017,"@toyota Hate to say it, but you are going to need to clear your name to the consumers quickly! #IMO",,10/7/2015  1:46 AM,en,0,0,0.3274
bykemp,1947,6.5126145E+017,.@theTiser how does @Toyota_Aus get away with comment on ad about towing  mother-in-law away from buffet? Do they hate women? #Toyota,,10/6/2015  5:03 AM,en,0,0,-0.6199
laurenconns_,232,6.5111035E+017,I WENT TO TOYOTA INSTEAD OF HONDA I HATE BEING AN ADULT LMAO,1,10/5/2015  7:03 PM,en,0,3,0.0516
glutenlibre,3391,6.5108709E+017,"Damn, guess we will have to boycott Audi now. Hope Toyota stays #gfree #comedyfree. I love my FJ. Here come the hate blogs. @AthertonBaking",,10/5/2015  5:30 PM,en,1,0,-0.1531
Higashka,2233,6.5102181E+017,squidyword: toyota: I hate when hot boys have ugly names like damn U can get it but Ur name is Wilfrido…... http://t.co/JXlOWtcmG5,1,10/5/2015  1:11 PM,en,0,0,-0.5574
BryanExMachina,469,6.5097894E+017,I irrationally hate Jan from the Toyota commercials.,,10/5/2015 10:20 AM,en,0,0,-0.743
Mzalesxox,472,6.5089676E+017,@YllaGon @toyota_tevin who knows but all I know now is you hate me and you never set me,1,10/5/2015  4:54 AM,en,0,1,-0.7227
StoneyyDOPE_24,3329,6.5089659E+017,@Toyota_CAMRYx3 honestly I hate you,1,10/5/2015  4:53 AM,en,0,0,-0.1779
_princessstacia,202,6.5077504E+017,i hate when people think there toyota truck is gold,1,10/4/2015  8:50 PM,en,0,3,-0.5719
erika_evans,527,6.5074505E+017,"""I hate a Hyundai"" that's a Toyota",1,10/4/2015  6:51 PM,en,0,0,-0.5719
firedogret,901,6.5074445E+017,#nascar. ..big Mike happy got them to yotas up front...pace car...I hate toyota...12-7-1941...f you,1,10/4/2015  6:49 PM,en,1,1,0
SEXXXYYYTEXXXAS,714,6.5043114E+017,@ufc @Izi_Garcia ANYBODY NEAR TOYOTA CENTER THAT WANTS FREE TICKETS TO #UFC192 HATE FOR THEM TO GO TO WASTE,1,10/3/2015 10:04 PM,en,0,0,-0.6037
