Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
DonnaK93,429,6.595102E+017,@BTSullivan91 @RigidNation @Toyota that's a beast love the lights 😍,,10/28/2015 11:20 PM,en,0,0,0.6369
httpmartha_,452,6.5947908E+017,boy from toyota ad i love u,1,10/28/2015  9:17 PM,en,0,0,0.6369
nailwrapsparty,121,6.5947721E+017,"200,000 miles!!!  This car has seen a lot with two busy boys!  Still going strong....love my #toyota… https://t.co/SFdROMPz9J",,10/28/2015  9:09 PM,en,0,0,0
JeanevaFalafel,206,6.5947543E+017,MY POOR BABY. SENDING LOVE TO MY TOYOTA. YOU DIDN'T DESERVE THIS AT ALL.,1,10/28/2015  9:02 PM,en,0,1,0.2732
Francescaj67,65,6.5944331E+017,3 days til i collect my new love 😍♥️🚘 #Toyota #ToyotaAurisSport https://t.co/ZtksJVZpBR,1,10/28/2015  6:55 PM,en,0,0,0.6369
EmiForLove,329273,6.5942195E+017,#Toyota global love is our theme &amp,1, has gone viral now twice with more then 145 Million social outreach in our group  https://t.co/T5GKbt,10/28/2015  5:30 PM,en,5,2
CallMeSzabo,459,6.5942075E+017,Goddamn I love Toyota Tacomas,,10/28/2015  5:25 PM,en,0,1,0.2732
EmiForLove,329273,6.594203E+017,#Toyota Thank U friends for spreading GLOBAL love joy &amp,, kindness We now have over 145 MILLION in our group! We were on the news last nig,10/28/2015  5:23 PM,en,10,7
ThereseLisan29,386,6.5941385E+017,@Toyota my family has driven every Toyota vehicle possible. We owned a Camry and now a highlander. Safest cars ever. I love it.,,10/28/2015  4:58 PM,en,1,4,0.7845
Kate_CRAZY_Pole,740,6.594064E+017,#VogliamoMikaNeiTeatriItaliani Love Today Tomorrow Toyota,1,10/28/2015  4:28 PM,en,1,0,0.6369
FalcoholicZippo,1366,6.5939887E+017,@briangrunt311 I love the new Civics. It's a good look. I've been a Toyota guy my whole life though. :P,1,10/28/2015  3:58 PM,en,0,0,0.8816
shortiekuehn,104,6.5938676E+017,@EmiForLove @Casio @Toyota @McDonalds CONGRATULATIONS EMI! You are an inspiration to all survivors &amp,1, fighters of breast cancer! Love you,10/28/2015  3:10 PM,en,0,1
caaam,414,6.5938256E+017,Swapped out a toyota truck for an older civic earlier this year. Love the decision https://t.co/LKATnxRJNX,1,10/28/2015  2:53 PM,en,0,0,0.6369
KtSmokesHydro,2783,6.5937927E+017,@allisteez I love them. Ryan has 2 1989 Toyota 4 runner he's fixing up he's obsessed turning one into a monster 4x4,1,10/28/2015  2:40 PM,en,0,1,0.5423
