Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
LITTLEBASTARD03,129,6.4825151E+017,@DeLanaHarvick  BEST   CAR  BEST  DRIVER  HATE   FUEL  RACES NEXT  WEEK  HAVE A SAFE TRIP  HOME  #HARVICKSTHEBEST  hate #TOYOTA!!!!,1,9/27/2015  9:42 PM,en,0,0,0.8193
antie88,406,6.4825117E+017,@kansaskim88 Lets start a We hate Gibbs &amp,1, Toyota club lol,9/27/2015  9:41 PM,en,0,1
HUNTMANTONY,220,6.4825089E+017,Oh how I hate Toyota's especially the JGR ones — feeling annoyed,1,9/27/2015  9:40 PM,en,0,0,-0.7003
AdamGropper,817,6.4824757E+017,Crap... @mattkenseth won. I hate Toyota so much right now and @JoeGibbsRacing. So here is my 👎's down. CRAP YOU! 😡💢,1,9/27/2015  9:27 PM,en,0,0,-0.561
2TeamPenske22,658,6.4824747E+017,Did I ever mention how much I hate losing to Toyota every week.,1,9/27/2015  9:26 PM,en,0,1,-0.743
MongooseInk,299,6.4822714E+017,"Meanwhile, Toyota continues to hate drivers. http://t.co/yve4hGb2mq",1,9/27/2015  8:06 PM,en,0,1,-0.5719
miss__scarlet,472,6.4821785E+017,who is this woman in these #toyota commercials? I hate her.,,9/27/2015  7:29 PM,en,0,0,-0.5719
joey22fan22,3422,6.4819985E+017,@SlicedSmoke14 A &amp,1, B. Some people say its rigged for Toyota 😂😂 dumb ppl..&amp, a lot of ppl hate Penske drivers,9/27/2015  6:17 PM,en,0
shelldale7811,40,6.4817001E+017,"@JennyOkie Am I missing something? Why do people hate Toyota? Lol...I feel ignorant! But yeah, no reason to spew hate towards MTJ!",1,9/27/2015  4:19 PM,en,0,0,-0.9126
TreHolmes11,316,6.4815974E+017,"Hate to say it, I believe Toyota will be the manufacture to beat next season with addition of FRR. I know its early, but thats what i think",1,9/27/2015  3:38 PM,en,0,0,-0.3291
AirportHaircuts,94,6.4815043E+017,"I choose to hate Toyota because they only make shitty cars, which happen to be built in America.",,9/27/2015  3:01 PM,en,0,0,-0.8074
ajetdryer,941,6.4794097E+017,@KCJO388789 @pippy29 @NASCAR_XFINITY @erik_jones Seems like you Jr fans really hate Toyota guys.,1,9/27/2015  1:08 AM,en,0,0,-0.3597
jasonagastrich,140992,6.4790346E+017,"""I hate seeing single people driving gas-guzzling SUVs and I think they have brain damage."" - mother nature @ford @chrysler @toyota @nissan",1,9/26/2015 10:39 PM,en,1,0,-0.5719
TravisGuinnKK5,211,6.4782698E+017,I hate to see any team switch from #Chevy to #Toyota,1,9/26/2015  5:36 PM,en,0,0,-0.5719
