Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
lakerfans32,32717,6.4815295E+017,Man I love Race day!! 😃🏁 #Go19 #JGR #CarlEdwards #Pole #Toyota #Camry #loudon http://t.co/DSx8hkTzTr http://t.co/QOpiYqsp8Q,1,9/27/2015  3:11 PM,en,0,0,0.6988
alishanobbs,1213,6.4815027E+017,"@Roxanny5 Toyota Aygo, I love it so much😍",1,9/27/2015  3:00 PM,en,0,1,0.6369
jmdurruty,978,6.4813734E+017,Why Rebel Groups Love the Toyota Hilux http://t.co/XXH4Z6Y0UH,1,9/27/2015  2:09 PM,en,0,0,0.5574
hedia19,573,6.4810358E+017,@The_Toyota_Way @thetoyotagal Love this and am intrigued to know what 5 &amp,1, 6 are,9/27/2015 11:55 AM,en,0,0
Ferrari458mad,2330,6.4808762E+017,Love rear end. #Toyota #quad  #instacars #instacool  #epic #carporn #carshow #motorshow #loveit… https://t.co/u8bgCxZs70,,9/27/2015 10:51 AM,en,0,0,0.6369
andirabintang94,628,6.4807496E+017,#KCA #VoteJKT48ID AIRTEL_KE: You need a car? #Smartika Love Toyota’s? #Smartika Like being a winner? #Smartika  http://t.co/krPegc2694,1,9/27/2015 10:01 AM,en,0,0,0.9009
AIRTEL_KE,115908,6.4807462E+017,You need a car? #Smartika Love Toyota’s? #Smartika Like being a winner? #Smartika http://t.co/KR2hirnNSY http://t.co/FNzuxXFC0p,1,9/27/2015 10:00 AM,en,0,3,0.9009
Sunny72Jz,231,6.4803412E+017,@SaraRamirez @EW @twitter @Toyota OMG  I LOVE YOU 💖 http://t.co/pzD3VI8E1R,1,9/27/2015  7:19 AM,en,0,0,0.7125
chunta72,152,6.4800034E+017,@macha227 we love toyota,1,9/27/2015  5:04 AM,en,0,1,0.6369
othsavedme,797,6.4799087E+017,This is how we #TGIT! http://t.co/gRX2M8l7FR omg!! #MalinaBesties I love them!!!!!!,1,9/27/2015  4:27 AM,en,0,0,0.7482
SupercarsofMAN,35,6.4796584E+017,Toyota tundra looking clean 👌🏼👌🏼👌🏼 #love #TagsForLikes.com #TagsForLikesApp #instagood #me #smile… https://t.co/1T04S9WY,1,9/27/2015  2:47 AM,en,0,0,0.4019
itsDerryl,394,6.4794503E+017,The iA is like Mazda's and Toyota's love child,1,9/27/2015  1:25 AM,en,0,0,0.7717
iamsalimali,983,6.4791486E+017,Ah the 1998 Toyota Supra gotta love this Iconic Japanese car. It was futuristic in its time and still holds down th… http://t.co/JLcnwwB0m,1,9/26/2015 11:25 PM,en,0,0,0.6369
watch1962,279,6.478751E+017,"I still love this Toyota Cressida DX, I owned a 79 model in 1983, it was a great ride to have. https://t.co/Yp2ekD8JTp",,9/26/2015  8:47 PM,en,0,1,0.5525
scottandrews,140,6.4787126E+017,Love love love Jeff the tow truck guy and Hanlee's Toyota for fixing my alternator in such a quick and... http://t.co/Zb3HDIzMXU,1,9/26/2015  8:31 PM,en,0,0,0.9274
_avrm_,842,6.4786472E+017,my love for the new Honda Accord &amp,1, Toyota Corolla 🔥😍😍,9/26/2015  8:06 PM,en,0,1
xxmelliemoo19xx,158,6.4786067E+017,Glad I'm getting used to my car now....love my little yaris #toyota #firsttimedriver #yaris #24yearold #driver,,9/26/2015  7:49 PM,en,0,1,0.4588
rebelpride02,530,6.4785114E+017,Love my Tacoma mine already has 160k..great run around truck! @CamoCandace @Ford @Toyota,,9/26/2015  7:12 PM,en,0,1,0.6696
F1taxi,6939,6.4784027E+017,@Mark_Whitelegge @girlwholoveskol @FakeBritta @SiBoyle46 @DatingRacing you know your signed up! Gonna find you true love 😍 her names Toyo,1,9/26/2015  6:28 PM,en,0,0,0.807
shaun_izzle,192,6.4783796E+017,I love me a Honda but... The all new Toyota Mark X 😍 https://t.co/TiojHTSnzw,1,9/26/2015  6:19 PM,en,0,0,0.6369
maxwelltani,543,6.4783541E+017,"“I figure if a Taco can handle desert war zones, it can handle my ski and mountain bike trips"" is a good quote http://t.co/z0l2fXVhyG",1,9/26/2015  6:09 PM,en,0,1,-0.25
GoussardW,548,6.4782543E+017,@VsauceThree @Toyota Absolutely Love The Extreme Science Episode1!!!!!! GOOD JOB its Different But Really Cool,1,9/26/2015  5:29 PM,en,0,1,0.9167
CamoCandace,13075,6.4781455E+017,Love our F250 &amp,1, ranger but since @Ford won't bring the diesel Ranger to the U.S. I guess I'll go test drive a @Toyota Tacoma. #TruckGirl,9/26/2015  4:46 PM,en,2,21
MaxwellReese7,12,6.477819E+017,Toyota Carolla these bitches love soda,1,9/26/2015  2:36 PM,en,0,0,0.0772
the__azhar,207,6.4766756E+017,My first love #Toyota #tazz #missher http://t.co/VxWkGfLAFw,1,9/26/2015  7:02 AM,en,0,0,0.6369
ormiga,1094,6.4764264E+017,#Terrorists Love #Toyota #Tacoma http://t.co/aUSCDjU3SQ NO #softwareiseatingtheworld #fraud like #volkswagen #marketing,1,9/26/2015  5:23 AM,en,0,1,0.5813
uuilly,542,6.4762562E+017,Because they're awesome: http://t.co/iNFMQC1CLd,1,9/26/2015  4:15 AM,en,0,0,0.6249
barbedwirekat,17,6.476227E+017,@_TinaD Ooh! Check out Wrestling Goddess Athena matches! She's amazing. And Manami Toyota. Do you love her?,1,9/26/2015  4:04 AM,en,0,0,0.8619
giovanniazael,478,6.4761989E+017,"@Toyota_CAMRYx3 May be fun short-term but hurtful in the long run. Love builds, it doesn't break. Don't need to #breakup to stay up.",1,9/26/2015  3:53 AM,en,0,0,0.5187
Bhuntz,187,6.4761E+017,Just got stuck in a group of teenage Street racers in the middle of Iowa.  I love my Toyota Camry👍🏼,1,9/26/2015  3:13 AM,en,0,2,0.4939
wallenbell,264,6.4760871E+017,How @charlesbethea writes about such a breadth of subjects always amuses me. Good story: http://t.co/bIAZqZGx90,1,9/26/2015  3:08 AM,en,0,1,0.6808
mkantos,75,6.4760818E+017,With a heavy heart I am almost to the end of my time with Expressway Toyota..   I love my job but the hour and... http://t.co/VH8GW25JGC,1,9/26/2015  3:06 AM,en,0,0,0.3818
lil_biganne,363,6.4759688E+017,im sure Tito Sen gonna be there i love his krispa o toyota question last Sat. #ALDubEBforLOVE,1,9/26/2015  2:21 AM,en,2,1,0.7579
Qwkhybrid,9,6.4757954E+017,"@Toyota @WillGeronimo I love my toyota camry, it's an 08 and has never been to dealer besides for oil changes and maintenance",,9/26/2015  1:12 AM,en,0,1,0.6369
GenBuy,12300,6.4757808E+017,I compare OJ/Bronco with Isis/Tacoma in this great piece by @charlesbethea Why Do Terrorists Love Toyota Tacomas? http://t.co/c3AI2gwRGl,1,9/26/2015  1:07 AM,en,1,1,0.7162
coachdustinfry,1989,6.4756953E+017,Just a normal Friday night in Dallas with @coachchadmorris at Frisco's Toyota Stadium!  Gotta love it!  #tempocopter http://t.co/BdL3nCcmiA,1,9/26/2015 12:33 AM,en,18,55,0.6988
torrHL,727,6.4756774E+017,"@tminus5 ""Why Do Terrorists Love Toyota Tacomas?"" http://t.co/jv0TjXZXgT",1,9/26/2015 12:25 AM,en,0,0,0.0258
mikebcorry,405,6.4756712E+017,All clean! Thanks @Toyota love my new #Tacoma #ToyotaNation http://t.co/UfNTu2UjSQ,,9/26/2015 12:23 AM,en,0,1,0.8777
JamesJSellsCars,213,6.4752684E+017,I love these cars Check out my periscope #Scion  reviews at James Johnson Sells Toyota  on Periscope  https://t.co/kkeih8kATY,1,9/25/2015  9:43 PM,en,0,0,0.6369
